from_station,to_station,datetime,skills,assigned_employee,hour,day_of_week
Station H,Station F,2024-05-15 21:53:48.564758,Skill 4,6,21,2
Station A,Station D,2024-06-01 11:22:48.564762,Skill 3,4,11,5
Station D,Station F,2024-05-10 17:25:48.564766,Skill 2,9,17,4
Station A,Station H,2024-05-25 00:33:48.564771,Skill 4,2,0,5
Station E,Station C,2024-06-08 01:41:48.564775,Skill 2,9,1,5
Station G,Station E,2024-05-18 20:39:48.564781,Skill 1,2,20,5
Station H,Station C,2024-05-31 19:24:48.564785,Skill 2,10,19,4
Station E,Station D,2024-05-29 04:12:48.564789,Skill 1,10,4,2
Station A,Station C,2024-06-01 01:47:48.564793,Skill 4,10,1,5
Station F,Station G,2024-06-05 14:20:48.564798,Skill 2,2,14,2
Station A,Station C,2024-05-26 10:57:48.564802,Skill 4,3,10,6
Station G,Station F,2024-05-18 22:05:48.564806,Skill 2,9,22,5
Station B,Station G,2024-05-24 13:56:48.564810,Skill 4,2,13,4
Station D,Station A,2024-05-23 21:30:48.564814,Skill 1,8,21,3
Station E,Station A,2024-05-20 16:19:48.564818,Skill 3,7,16,0
Station A,Station F,2024-05-09 09:16:48.564823,Skill 3,5,9,3
Station F,Station C,2024-06-08 18:23:48.564827,Skill 1,10,18,5
Station H,Station A,2024-06-03 06:35:48.564831,Skill 2,5,6,0
Station F,Station A,2024-05-16 01:36:48.564835,Skill 1,9,1,3
Station D,Station F,2024-05-11 19:34:48.564840,Skill 2,5,19,5
Station F,Station E,2024-05-22 13:42:48.564844,Skill 1,8,13,2
Station C,Station D,2024-05-21 03:03:48.564848,Skill 2,8,3,1
Station A,Station F,2024-05-31 06:50:48.564852,Skill 2,8,6,4
Station C,Station D,2024-06-08 07:11:48.564856,Skill 4,9,7,5
Station C,Station D,2024-06-04 19:39:48.564860,Skill 3,9,19,1
Station D,Station G,2024-05-12 10:17:48.564864,Skill 3,4,10,6
Station C,Station F,2024-06-07 02:44:48.564869,Skill 1,6,2,4
Station G,Station B,2024-05-21 12:38:48.564873,Skill 3,1,12,1
Station E,Station H,2024-05-24 20:18:48.564877,Skill 2,3,20,4
Station H,Station B,2024-05-19 05:44:48.564881,Skill 1,7,5,6
Station E,Station F,2024-05-10 14:51:48.564885,Skill 1,6,14,4
Station F,Station G,2024-05-30 14:23:48.564890,Skill 3,3,14,3
Station D,Station C,2024-06-07 02:00:48.564894,Skill 4,5,2,4
Station D,Station F,2024-05-14 23:25:48.564898,Skill 4,2,23,1
Station C,Station A,2024-06-09 00:40:48.564903,Skill 4,4,0,6
Station G,Station A,2024-05-22 21:20:48.564907,Skill 1,7,21,2
Station C,Station F,2024-05-22 11:35:48.564911,Skill 4,8,11,2
Station C,Station E,2024-06-02 14:33:48.564915,Skill 3,5,14,6
Station H,Station C,2024-05-23 11:43:48.564919,Skill 4,7,11,3
Station E,Station D,2024-05-11 09:44:48.564923,Skill 2,2,9,5
Station A,Station F,2024-05-10 20:20:48.564927,Skill 2,10,20,4
Station H,Station E,2024-05-20 02:49:48.564933,Skill 1,9,2,0
Station H,Station D,2024-06-05 01:08:48.564937,Skill 2,3,1,2
Station E,Station H,2024-05-12 18:23:48.564941,Skill 1,6,18,6
Station F,Station D,2024-05-29 06:27:48.564946,Skill 3,7,6,2
Station F,Station B,2024-05-12 11:22:48.564950,Skill 3,3,11,6
Station B,Station A,2024-05-15 16:46:48.564954,Skill 1,3,16,2
Station G,Station C,2024-06-08 13:44:48.564959,Skill 3,4,13,5
Station E,Station F,2024-05-27 00:37:48.564963,Skill 2,3,0,0
Station G,Station H,2024-05-20 11:48:48.564967,Skill 3,6,11,0
Station A,Station E,2024-05-30 06:59:48.564971,Skill 1,7,6,3
Station E,Station D,2024-06-06 13:43:48.564976,Skill 2,6,13,3
Station H,Station E,2024-05-17 21:44:48.564980,Skill 2,4,21,4
Station E,Station F,2024-05-31 11:19:48.564984,Skill 1,5,11,4
Station C,Station F,2024-05-12 06:40:48.564988,Skill 1,10,6,6
Station E,Station C,2024-06-03 00:10:48.564992,Skill 3,4,0,0
Station H,Station G,2024-05-18 21:57:48.564996,Skill 2,6,21,5
Station D,Station G,2024-05-19 19:38:48.565000,Skill 4,2,19,6
Station E,Station B,2024-05-19 02:35:48.565005,Skill 2,10,2,6
Station C,Station E,2024-05-27 05:45:48.565010,Skill 4,3,5,0
Station A,Station H,2024-05-23 01:02:48.565014,Skill 4,6,1,3
Station E,Station C,2024-05-14 11:11:48.565018,Skill 3,8,11,1
Station A,Station G,2024-05-30 15:47:48.565022,Skill 4,6,15,3
Station C,Station D,2024-05-28 01:32:48.565026,Skill 3,9,1,1
Station C,Station D,2024-06-07 21:08:48.565030,Skill 2,2,21,4
Station E,Station H,2024-05-18 02:59:48.565034,Skill 4,1,2,5
Station E,Station C,2024-05-25 15:14:48.565039,Skill 4,1,15,5
Station F,Station C,2024-06-08 13:15:48.565044,Skill 2,6,13,5
Station G,Station C,2024-06-03 16:34:48.565048,Skill 3,1,16,0
Station H,Station C,2024-05-11 00:41:48.565052,Skill 4,8,0,5
Station D,Station A,2024-06-02 15:20:48.565056,Skill 2,4,15,6
Station E,Station D,2024-06-04 07:10:48.565060,Skill 2,3,7,1
Station B,Station G,2024-05-23 17:58:48.565064,Skill 2,2,17,3
Station F,Station D,2024-06-09 02:46:48.565069,Skill 3,9,2,6
Station G,Station D,2024-06-08 19:56:48.565073,Skill 2,5,19,5
Station B,Station G,2024-06-07 13:29:48.565077,Skill 2,3,13,4
Station C,Station E,2024-05-19 11:59:48.565082,Skill 3,4,11,6
Station A,Station G,2024-05-19 13:21:48.565086,Skill 1,6,13,6
Station C,Station A,2024-06-01 05:14:48.565090,Skill 1,5,5,5
Station C,Station G,2024-05-11 09:18:48.565095,Skill 2,8,9,5
Station G,Station E,2024-05-16 00:45:48.565099,Skill 1,2,0,3
Station F,Station A,2024-06-04 00:46:48.565103,Skill 4,8,0,1
Station H,Station D,2024-05-15 17:44:48.565107,Skill 2,3,17,2
Station A,Station G,2024-05-30 19:49:48.565111,Skill 2,2,19,3
Station E,Station G,2024-05-12 16:00:48.565116,Skill 3,6,16,6
Station G,Station B,2024-06-03 04:03:48.565120,Skill 4,1,4,0
Station D,Station B,2024-05-13 01:46:48.565124,Skill 2,4,1,0
Station E,Station H,2024-06-08 19:54:48.565129,Skill 3,10,19,5
Station H,Station G,2024-06-06 06:24:48.565133,Skill 1,6,6,3
Station A,Station G,2024-05-19 03:32:48.565137,Skill 2,9,3,6
Station B,Station C,2024-05-12 10:02:48.565141,Skill 1,2,10,6
Station D,Station B,2024-05-23 21:13:48.565145,Skill 1,8,21,3
Station G,Station B,2024-05-30 21:00:48.565150,Skill 3,7,21,3
Station G,Station D,2024-05-14 06:11:48.565154,Skill 4,5,6,1
Station F,Station E,2024-05-17 00:47:48.565158,Skill 3,10,0,4
Station E,Station C,2024-06-01 08:49:48.565162,Skill 4,8,8,5
Station A,Station E,2024-06-01 19:30:48.565167,Skill 1,9,19,5
Station H,Station G,2024-05-19 02:00:48.565171,Skill 3,2,2,6
Station B,Station C,2024-06-03 22:05:48.565175,Skill 1,6,22,0
Station C,Station E,2024-05-15 01:24:48.565179,Skill 1,7,1,2
Station H,Station C,2024-05-10 11:37:48.565183,Skill 1,2,11,4
Station E,Station H,2024-05-26 12:43:48.565187,Skill 3,2,12,6
Station C,Station A,2024-05-19 11:17:48.565192,Skill 1,4,11,6
Station B,Station G,2024-06-07 13:27:48.565196,Skill 2,2,13,4
Station F,Station A,2024-05-17 02:05:48.565200,Skill 4,10,2,4
Station F,Station A,2024-05-15 11:57:48.565205,Skill 1,9,11,2
Station D,Station E,2024-05-14 12:21:48.565209,Skill 4,6,12,1
Station D,Station F,2024-05-18 04:36:48.565213,Skill 4,2,4,5
Station G,Station D,2024-05-21 18:48:48.565217,Skill 3,10,18,1
Station C,Station H,2024-05-27 07:11:48.565221,Skill 2,4,7,0
Station H,Station G,2024-06-07 07:54:48.565226,Skill 2,8,7,4
Station G,Station D,2024-05-25 11:15:48.565230,Skill 3,8,11,5
Station C,Station F,2024-05-27 02:33:48.565235,Skill 2,1,2,0
Station A,Station H,2024-05-09 10:32:48.565239,Skill 3,8,10,3
Station B,Station E,2024-05-13 15:16:48.565243,Skill 2,8,15,0
Station H,Station B,2024-05-16 14:02:48.565247,Skill 1,10,14,3
Station C,Station E,2024-05-10 05:59:48.565251,Skill 1,6,5,4
Station B,Station C,2024-05-31 04:08:48.565256,Skill 2,6,4,4
Station C,Station D,2024-06-07 00:08:48.565259,Skill 3,4,0,4
Station H,Station B,2024-05-18 15:02:48.565263,Skill 2,1,15,5
Station D,Station B,2024-05-12 13:26:48.565268,Skill 3,8,13,6
Station A,Station E,2024-05-21 14:35:48.565272,Skill 1,10,14,1
Station E,Station B,2024-05-09 08:45:48.565276,Skill 1,5,8,3
Station A,Station C,2024-05-20 05:35:48.565281,Skill 4,7,5,0
Station G,Station D,2024-05-27 05:17:48.565285,Skill 2,5,5,0
Station E,Station A,2024-06-05 21:49:48.565289,Skill 2,4,21,2
Station E,Station C,2024-05-14 01:29:48.565293,Skill 2,2,1,1
Station B,Station D,2024-05-13 08:39:48.565297,Skill 1,5,8,0
Station B,Station E,2024-05-10 19:04:48.565302,Skill 4,9,19,4
Station D,Station E,2024-06-08 14:14:48.565306,Skill 3,6,14,5
Station F,Station H,2024-05-23 14:30:48.565310,Skill 2,4,14,3
Station D,Station E,2024-06-04 12:50:48.565314,Skill 1,4,12,1
Station G,Station D,2024-05-25 22:56:48.565318,Skill 1,2,22,5
Station H,Station F,2024-05-13 04:24:48.565323,Skill 2,3,4,0
Station D,Station B,2024-06-05 16:44:48.565327,Skill 1,3,16,2
Station C,Station F,2024-05-09 11:54:48.565332,Skill 3,9,11,3
Station B,Station A,2024-05-27 22:18:48.565336,Skill 3,1,22,0
Station F,Station A,2024-05-15 08:13:48.565340,Skill 4,5,8,2
Station A,Station H,2024-05-19 18:56:48.565344,Skill 3,5,18,6
Station E,Station F,2024-05-18 09:57:48.565348,Skill 3,6,9,5
Station C,Station F,2024-05-24 00:54:48.565354,Skill 3,7,0,4
Station H,Station G,2024-06-08 19:15:48.565358,Skill 2,8,19,5
Station F,Station H,2024-05-11 23:39:48.565362,Skill 4,8,23,5
Station A,Station E,2024-05-19 05:36:48.565366,Skill 4,3,5,6
Station B,Station C,2024-05-17 14:44:48.565370,Skill 4,10,14,4
Station B,Station D,2024-05-28 23:19:48.565374,Skill 1,4,23,1
Station C,Station D,2024-05-11 08:51:48.565379,Skill 2,3,8,5
Station D,Station F,2024-05-28 04:22:48.565383,Skill 1,1,4,1
Station H,Station C,2024-05-30 15:30:48.565387,Skill 2,8,15,3
Station H,Station D,2024-06-07 17:07:48.565391,Skill 1,9,17,4
Station H,Station A,2024-05-13 00:08:48.565395,Skill 2,9,0,0
Station B,Station H,2024-05-23 17:36:48.565399,Skill 2,6,17,3
Station A,Station B,2024-05-19 19:02:48.565403,Skill 1,3,19,6
Station G,Station D,2024-06-03 13:10:48.565407,Skill 3,5,13,0
Station G,Station F,2024-05-16 20:56:48.565411,Skill 3,2,20,3
Station A,Station D,2024-05-28 10:47:48.565415,Skill 3,3,10,1
Station A,Station C,2024-05-29 06:12:48.565420,Skill 2,9,6,2
Station B,Station C,2024-05-29 18:15:48.565424,Skill 3,1,18,2
Station H,Station A,2024-05-13 08:50:48.565428,Skill 4,3,8,0
Station B,Station F,2024-05-14 07:19:48.565432,Skill 2,1,7,1
Station F,Station G,2024-05-10 21:24:48.565436,Skill 1,2,21,4
Station A,Station E,2024-05-17 01:34:48.565441,Skill 1,7,1,4
Station C,Station A,2024-06-04 12:46:48.565445,Skill 2,4,12,1
Station D,Station A,2024-05-18 06:20:48.565450,Skill 3,4,6,5
Station A,Station H,2024-06-05 09:00:48.565454,Skill 3,8,9,2
Station E,Station H,2024-05-20 18:48:48.565458,Skill 1,1,18,0
Station G,Station E,2024-05-28 17:23:48.565462,Skill 1,8,17,1
Station H,Station C,2024-05-14 07:37:48.565466,Skill 3,8,7,1
Station F,Station G,2024-06-09 01:47:48.565470,Skill 2,5,1,6
Station F,Station B,2024-05-18 15:43:48.565475,Skill 2,1,15,5
Station H,Station F,2024-06-03 10:58:48.565480,Skill 1,5,10,0
Station A,Station F,2024-05-18 10:56:48.565484,Skill 3,7,10,5
Station H,Station C,2024-05-29 21:00:48.565488,Skill 3,5,21,2
Station B,Station H,2024-06-03 02:24:48.565492,Skill 3,3,2,0
Station D,Station C,2024-05-18 08:48:48.565496,Skill 3,8,8,5
Station B,Station A,2024-06-04 02:25:48.565500,Skill 4,5,2,1
Station C,Station A,2024-05-26 16:24:48.565504,Skill 1,6,16,6
Station C,Station F,2024-06-06 19:42:48.565509,Skill 3,6,19,3
Station E,Station A,2024-06-01 04:38:48.565513,Skill 4,3,4,5
Station G,Station A,2024-05-14 21:36:48.565517,Skill 4,4,21,1
Station G,Station F,2024-05-23 17:38:48.565521,Skill 1,3,17,3
Station C,Station E,2024-05-26 10:40:48.565525,Skill 3,2,10,6
Station G,Station H,2024-06-05 07:37:48.565529,Skill 2,6,7,2
Station E,Station H,2024-05-18 03:22:48.565533,Skill 3,3,3,5
Station E,Station C,2024-06-06 03:20:48.565537,Skill 4,8,3,3
Station G,Station A,2024-06-07 01:17:48.565542,Skill 2,9,1,4
Station F,Station D,2024-06-08 20:42:48.565546,Skill 1,5,20,5
Station F,Station H,2024-05-30 20:15:48.565550,Skill 1,7,20,3
Station C,Station G,2024-05-27 16:53:48.565555,Skill 3,9,16,0
Station C,Station B,2024-05-26 16:24:48.565559,Skill 2,4,16,6
Station D,Station F,2024-05-26 03:33:48.565563,Skill 4,1,3,6
Station C,Station A,2024-05-19 12:06:48.565567,Skill 1,5,12,6
Station B,Station F,2024-05-20 22:47:48.565571,Skill 2,8,22,0
Station B,Station G,2024-05-29 02:49:48.565575,Skill 1,10,2,2
Station E,Station G,2024-06-06 17:24:48.565580,Skill 4,5,17,3
Station H,Station B,2024-05-30 14:11:48.565584,Skill 3,10,14,3
Station G,Station E,2024-05-15 18:28:48.565588,Skill 2,3,18,2
Station D,Station G,2024-05-15 09:50:48.565592,Skill 1,3,9,2
Station D,Station F,2024-05-20 11:38:48.565597,Skill 1,1,11,0
Station B,Station A,2024-05-14 04:21:48.565601,Skill 4,4,4,1
Station C,Station B,2024-05-23 13:59:48.565605,Skill 3,2,13,3
Station E,Station A,2024-05-21 11:24:48.565609,Skill 2,5,11,1
Station B,Station G,2024-05-28 07:03:48.565613,Skill 1,3,7,1
Station G,Station F,2024-05-26 23:18:48.565618,Skill 3,9,23,6
Station H,Station B,2024-05-26 14:34:48.565622,Skill 3,7,14,6
Station B,Station A,2024-06-01 16:23:48.565626,Skill 2,1,16,5
Station D,Station A,2024-05-24 22:27:48.565630,Skill 1,2,22,4
Station B,Station F,2024-05-14 16:36:48.565634,Skill 1,10,16,1
Station B,Station G,2024-05-13 13:48:48.565639,Skill 2,9,13,0
Station E,Station C,2024-05-24 01:35:48.565643,Skill 3,1,1,4
Station A,Station D,2024-05-26 00:37:48.565648,Skill 3,7,0,6
Station F,Station H,2024-05-29 08:08:48.565652,Skill 4,5,8,2
Station B,Station G,2024-06-02 14:00:48.565656,Skill 2,5,14,6
Station A,Station D,2024-06-02 00:40:48.565661,Skill 1,10,0,6
Station C,Station B,2024-05-13 09:41:48.565665,Skill 2,1,9,0
Station H,Station G,2024-05-11 09:52:48.565670,Skill 2,6,9,5
Station C,Station E,2024-05-12 07:14:48.565674,Skill 2,1,7,6
Station F,Station H,2024-05-29 15:44:48.565678,Skill 3,5,15,2
Station E,Station A,2024-06-07 10:18:48.565682,Skill 2,5,10,4
Station C,Station H,2024-05-27 15:22:48.565686,Skill 3,10,15,0
Station B,Station G,2024-05-24 21:05:48.565690,Skill 3,1,21,4
Station B,Station G,2024-05-18 01:57:48.565695,Skill 3,9,1,5
Station D,Station E,2024-05-19 20:26:48.565699,Skill 1,7,20,6
Station D,Station B,2024-05-28 02:08:48.565703,Skill 1,1,2,1
Station F,Station H,2024-05-21 14:12:48.565707,Skill 3,9,14,1
